,day,description,rooms,m2,bathrooms,price,links
105,2023-12-29,"Studio via Atto Vannucci 10, Porta Romana - Medaglie d'Oro, Milan",1,25m²,1,"€ 195,000",https://www.immobiliare.it/en/annunci/107586535/
106,2023-12-29,"2-room flat excellent condition, ground floor, Porta Romana - Medaglie d'Oro, Milan",2,66m²,1,"€ 415,000",https://www.immobiliare.it/en/annunci/107585873/
107,2023-12-29,"3-room flat via Tiraboschi, 2, Porta Romana - Medaglie d'Oro, Milan",3,90m²,2,"€ 687,000",https://www.immobiliare.it/en/annunci/107595419/
108,2023-12-29,"3-room flat via Tiraboschi, 2, Porta Romana - Medaglie d'Oro, Milan",3,90m²,2,"€ 687,000",https://www.immobiliare.it/en/annunci/108340353/
109,2023-12-29,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2,91m²,1,"€ 595,000",https://www.immobiliare.it/en/annunci/107557151/
110,2023-12-29,"Penthouse viale Monte Nero 73, Montenero, Milan",5,182m²,3,"€ 1,648,000",https://www.immobiliare.it/en/annunci/107562117/
111,2023-12-29,"Penthouse viale Isonzo 60, Porta Romana - Medaglie d'Oro, Milan",2,75m²,1,"€ 560,000",https://www.immobiliare.it/en/annunci/107545857/
112,2023-12-29,"2-room flat excellent condition, fifth floor, Porta Romana - Medaglie d'Oro, Milan",2,100m²,2,"€ 635,000",https://www.immobiliare.it/en/annunci/107590147/
113,2023-12-29,"Studio excellent condition, fifth floor, Porta Romana - Medaglie d'Oro, Milan",1,25m²,1,"€ 215,000€ 229,000(-6.1%)",https://www.immobiliare.it/en/annunci/107522193/
114,2023-12-29,"4-room flat via Emilio Morosini 20, Montenero, Milan",4,115m²,2,"€ 797,000",https://www.immobiliare.it/en/annunci/107512167/
115,2023-12-29,"Penthouse viale Isonzo 60, Porta Romana - Medaglie d'Oro, Milan",3,83m²,1,"€ 620,000",https://www.immobiliare.it/en/annunci/108031337/
116,2023-12-29,"2-room flat to be refurbished, mezzanine, Montenero, Milan",2,57m²,1,"€ 445,000",https://www.immobiliare.it/en/annunci/107546621/
117,2023-12-29,"3-room flat via Spartaco 29, Cadore, Milan",3,85m²,1,"€ 558,000",https://www.immobiliare.it/en/annunci/107462649/
118,2023-12-29,"3-room flat via Mantova, Porta Romana - Medaglie d'Oro, Milan",3,85m²,1,"€ 515,000",https://www.immobiliare.it/en/annunci/107474029/
119,2023-12-29,"3-room flat viale Emilio Caldara 13, Quadronno - Crocetta, Milan",3,160m²,3,"€ 1,550,000",https://www.immobiliare.it/en/annunci/107471741/
120,2023-12-29,"3-room flat viale Emilio Caldara 13, Quadronno - Crocetta, Milan",3,100m²,2,"€ 1,000,000",https://www.immobiliare.it/en/annunci/107463307/
121,2023-12-29,"2-room flat via Cadore 6, Cadore, Milan",2,85m²,1,"€ 629,000",https://www.immobiliare.it/en/annunci/108280731/
122,2023-12-29,"2-room flat via Mantova, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 470,000",https://www.immobiliare.it/en/annunci/108206309/
123,2023-12-29,"2-room flat viale Emilio Caldara 13, Quadronno - Crocetta, Milan",2,70m²,1,"€ 650,000",https://www.immobiliare.it/en/annunci/107426885/
