day,district,description,rooms,m2,bathrooms,price,links,house_id,m2-€
2024-01-13,porta-romana-medaglie-d-oro,"Penthouse via Giuseppe Ripamonti 3, Porta Romana - Medaglie d'Oro, Milan",3.0,110.0,2.0,1000000.0,https://www.immobiliare.it/en/annunci/106718139/,106718139,9090.90909090909
2024-01-13,porta-romana-medaglie-d-oro,"Apartment at auction via Giuseppe Ripamonti, 36, Milan",,,,209250.0,https://www.immobiliare.it/en/annunci/106702091/,106702091,
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via San Rocco, Porta Romana - Medaglie d'Oro, Milan",3.0,115.0,2.0,970000.0,https://www.immobiliare.it/en/annunci/106683101/,106683101,8434.782608695652
2024-01-13,porta-romana-medaglie-d-oro,"Apartment via Francesco Burlamacchi 3, Porta Romana - Medaglie d'Oro, Milan",5.0,260.0,3.0,,https://www.immobiliare.it/en/annunci/107964387/,107964387,
2024-01-13,porta-romana-medaglie-d-oro,"Apartment at auction via Giuseppe Ripamonti 36, Milan",3.0,93.0,1.0,209250.0,https://www.immobiliare.it/en/annunci/106599765/,106599765,2250.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Monte Nero 31, Porta Romana - Medaglie d'Oro, Milan",2.0,45.0,1.0,375000.0,https://www.immobiliare.it/en/annunci/106576699/,106576699,8333.333333333334
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Monte Nero 31, Porta Romana - Medaglie d'Oro, Milan",3.0,110.0,2.0,750000.0,https://www.immobiliare.it/en/annunci/106573833/,106573833,6818.181818181818
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat viale Filippetti, 28/a, Porta Romana - Medaglie d'Oro, Milan",4.0,171.0,2.0,1199000.0,https://www.immobiliare.it/en/annunci/106586157/,106586157,7011.695906432748
2024-01-13,porta-romana-medaglie-d-oro,"Attic via Piacenza 8, Porta Romana - Medaglie d'Oro, Milan",2.0,85.0,1.0,299000.0,https://www.immobiliare.it/en/annunci/108167527/,108167527,3517.6470588235293
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Gian Carlo Passeroni 6, Porta Romana - Medaglie d'Oro, Milan",2.0,76.0,1.0,550000.0,https://www.immobiliare.it/en/annunci/106520159/,106520159,7236.8421052631575
