day,district,description,rooms,m2,bathrooms,price,links,house_id
2024-01-03,porta-romana-medaglie-d-oro,"Studio via San Rocco 20, Porta Romana - Medaglie d'Oro, Milan",1,60m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/107653099/,107653099
2024-01-03,porta-romana-medaglie-d-oro,"Penthouse via Giuseppe Ripamonti 3, Porta Romana - Medaglie d'Oro, Milan",3,115m²,2,"€ 975,000",https://www.immobiliare.it/en/annunci/107655379/,107655379
2024-01-03,porta-romana-medaglie-d-oro,"Apartment good condition, second floor, Porta Romana - Medaglie d'Oro, Milan",5,190m²,3,"€ 1,280,000",https://www.immobiliare.it/en/annunci/108329817/,108329817
2024-01-03,porta-romana-medaglie-d-oro,"4-room flat via Friuli 3, Porta Romana - Medaglie d'Oro, Milan",4,105m²,2,"€ 770,000",https://www.immobiliare.it/en/annunci/107949625/,107949625
2024-01-03,porta-romana-medaglie-d-oro,"4-room flat via Lodovico Muratori 9, Porta Romana - Medaglie d'Oro, Milan",4,115m²,1,"€ 870,000",https://www.immobiliare.it/en/annunci/107615533/,107615533
2024-01-03,porta-romana-medaglie-d-oro,"4-room flat via Gerolamo Tiraboschi, Porta Romana - Medaglie d'Oro, Milan",4,121m²,2,"€ 770,000",https://www.immobiliare.it/en/annunci/107593253/,107593253
2024-01-03,porta-romana-medaglie-d-oro,"4-room flat good condition, Porta Romana - Medaglie d'Oro, Milan",4,111m²,1,"€ 870,000",https://www.immobiliare.it/en/annunci/107594989/,107594989
2024-01-03,porta-romana-medaglie-d-oro,"Studio via Atto Vannucci 10, Porta Romana - Medaglie d'Oro, Milan",1,25m²,1,"€ 195,000",https://www.immobiliare.it/en/annunci/107586535/,107586535
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat excellent condition, ground floor, Porta Romana - Medaglie d'Oro, Milan",2,66m²,1,"€ 415,000",https://www.immobiliare.it/en/annunci/107585873/,107585873
2024-01-03,porta-romana-medaglie-d-oro,"3-room flat via Tiraboschi, 2, Porta Romana - Medaglie d'Oro, Milan",3,90m²,2,"€ 687,000",https://www.immobiliare.it/en/annunci/108340353/,108340353
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2,91m²,1,"€ 595,000",https://www.immobiliare.it/en/annunci/107557151/,107557151
2024-01-03,porta-romana-medaglie-d-oro,"Penthouse viale Isonzo 60, Porta Romana - Medaglie d'Oro, Milan",2,75m²,1,"€ 560,000",https://www.immobiliare.it/en/annunci/107545857/,107545857
